size,DistMark,year
2,997,2017
2,998,2017
2,999,2017
3,1004,2017
1,1019,2017
1,1020,2017
3,1037,2017
1,1029,2017
2,1033,2017
1,1037,2017
1,1059,2017
1,1069,2017
1,1073,2017
2,1079,2017
1,1184,2017
1,1185,2017
2,1192,2017
1,1197,2017
1,1199,2017
4,1219,2017
4,1289,2017
1,1302,2017
1,1305,2017
2,1305,2017
1,1304,2017
1,1304,2017
1,1305,2017
2,1421,2017
1,1424,2017
2,1442,2017
1,1566,2017
1,1538,2017
1,1381,2017
1,1348,2017
1,1307,2017
1,1306,2017
2,1292,2017
1,1290,2017
1,1290,2017
3,1278,2017
3,1277,2017
1,1277,2017
1,1276,2017
1,1274,2017
3,1274,2017
2,1273,2017
1,1273,2017
1,1271,2017
1,1271,2017
1,1270,2017
2,1269,2017
1,1269,2017
1,1266,2017
2,1216,2017
1,1216,2017
1,1208,2017
1,1179,2017
2,1179,2017
1,1156,2017
1,1155,2017
1,1106,2017
1,1088,2017
1,1086,2017
2,1080,2017
1,1030,2017
1,1026,2017
1,1001,2017
1,999,2017
1,978,2017
1,959,2017
2,924,2017
1,919,2017
1,915,2017
4,914,2017
1,908,2017
2,904,2017
1,882,2017
1,881,2017
3,811,2017
1,792,2017
1,791,2017
2,782,2017
3,775,2017
2,750,2017
1,744,2017
3,742,2017
4,713,2017
2,711,2017
1,711,2017
5,709,2017
1,708,2017
4,692,2017
4,692,2017
1,652,2017
1,512,2017
3,507,2017
1,484,2017
1,484,2017
2,477,2017
3,474,2017
1,413,2017
3,377,2017
1,372,2017
4,371,2017
1,370,2017
1,368,2017
2,368,2017
3,367,2017
1,365,2017
1,360,2017
1,359,2017
2,358,2017
3,357,2017
3,357,2017
1,351,2017
4,306,2017
2,288,2017
1,283,2017
8,3,2017
8,1,2017
2,12,2017
1,14,2017
3,208,2017
1,275,2017
1,276,2017
2,286,2017
2,325,2017
2,348,2017
3,352,2017
1,353,2017
3,354,2017
3,356,2017
3,366,2017
1,367,2017
1,367,2017
2,368,2017
5,371,2017
1,376,2017
6,377,2017
1,380,2017
8,459,2017
1,459,2017
5,467,2017
4,689,2017
3,720,2017
2,739,2017
1,742,2017
1,748,2017
1,755,2017
3,763,2017
3,764,2017
2,766,2017
1,768,2017
3,775,2017
3,816,2017
2,860,2017
6,863,2017
3,879,2017
1,880,2017
2,881,2017
4,881,2017
2,881,2017
4,882,2017
2,882,2017
2,882,2017
3,882,2017
2,882,2017
5,882,2017
2,887,2017
3,895,2017
1,896,2017
1,898,2017
3,979,2017
2,998,2017
5,1000,2017
2,1001,2017
7,1005,2017
1,1033,2017
1,1036,2017
1,1037,2017
1,1037,2017
2,1046,2017
2,1069,2017
1,1118,2017
1,1144,2017
1,1145,2017
3,1161,2017
1,1175,2017
1,1183,2017
1,1204,2017
2,1207,2017
1,1214,2017
1,1220,2017
1,1244,2017
3,1272,2017
5,1291,2017
1,1293,2017
5,1305,2017
1,1305,2017
3,1414,2017
2,1417,2017
3,1418,2017
2,1419,2017
2,1446,2017
1,1576,2017
3,1507,2017
2,1417,2017
2,1390,2017
2,1309,2017
4,1307,2017
2,1292,2017
1,1292,2017
2,1291,2017
1,1290,2017
2,1289,2017
1,1288,2017
2,1287,2017
1,1287,2017
1,1278,2017
2,1276,2017
3,1260,2017
1,1258,2017
1,1242,2017
2,1208,2017
1,1186,2017
1,1181,2017
1,1178,2017
1,1173,2017
1,1172,2017
1,1172,2017
1,1171,2017
1,1121,2017
1,1120,2017
2,1074,2017
1,1065,2017
1,1039,2017
2,1000,2017
1,998,2017
2,977,2017
3,920,2017
1,919,2017
1,914,2017
1,897,2017
2,896,2017
3,892,2017
3,887,2017
3,887,2017
3,886,2017
1,885,2017
2,881,2017
2,881,2017
2,854,2017
1,822,2017
1,821,2017
2,812,2017
1,811,2017
3,810,2017
1,810,2017
1,796,2017
1,792,2017
2,783,2017
1,782,2017
2,772,2017
4,742,2017
1,742,2017
1,717,2017
1,707,2017
7,692,2017
2,691,2017
2,660,2017
3,653,2017
2,651,2017
