"f_year","groups","year","seg_urban_perc"
2003,"[1210,1220)",2003,0.4924189552
2003,"[1220,1230)",2003,0.1989722894
2003,"[1230,1240)",2003,0.0462035163
2003,"[1240,1250)",2003,0.2544375597
2003,"[1250,1260)",2003,0.4494588931
2003,"[1260,1270)",2003,0.1938064732
2003,"[1270,1280)",2003,0.1221238517
2003,"[1280,1290)",2003,0.3544143084
2003,"[1290,1300)",2003,0.5071948424
2003,"[1300,1310)",2003,0.7311624206
2003,"[1310,1320)",2003,0.5871723943
2003,"[1320,1330)",2003,0.3313275288
2003,"[1330,1340)",2003,0.2271798376
2003,"[1340,1350)",2003,0.1232390454
2003,"[1350,1360)",2003,0.2541937625
2003,"[1360,1370)",2003,0.0981780269
2003,"[1370,1380)",2003,0.1647126005
2003,"[1380,1390)",2003,0.2894971652
2003,"[1390,1400)",2003,0.234323103
2003,"[1400,1410)",2003,0.3307943736
2003,"[1410,1420)",2003,0.2018771422
2003,"[1420,1430)",2003,0.0623975298
2003,"[1430,1440)",2003,0.2234861176
2003,"[1440,1450)",2003,0.1764317432
2003,"[1450,1460)",2003,0.0781795291
2003,"[1460,1470)",2003,0.0493953515
2003,"[1470,1480)",2003,0.2695299712
2003,"[1480,1490)",2003,0.1654823693
2003,"[1490,1500)",2003,0.4240744409
2004,"[0,10)",2004,0.2645889985
2004,"[10,20)",2004,0.1465338725
2004,"[20,30)",2004,0.0893137178
2004,"[30,40)",2004,0.0567745454
2004,"[40,50)",2004,0.0490589431
2004,"[50,60)",2004,0.018452753
2004,"[60,70)",2004,0.0090278776
2004,"[70,80)",2004,0.0036801475
2004,"[80,90)",2004,0.0300368531
2004,"[90,100)",2004,0.1255520986
2004,"[100,110)",2004,0.0572983883
2004,"[110,120)",2004,0.0078417114
2004,"[120,130)",2004,0.0016113176
2004,"[130,140)",2004,0.0132803901
2004,"[140,150)",2004,0.3468542952
2004,"[150,160)",2004,0.3917145254
2004,"[160,170)",2004,0.0339633092
2004,"[170,180)",2004,0.0364014634
2004,"[180,190)",2004,0.0609663054
2004,"[190,200)",2004,0.0414097765
2004,"[200,210)",2004,0.0326855617
2004,"[210,220)",2004,0.0056379047
2004,"[220,230)",2004,0.012176656
2004,"[230,240)",2004,0.0985679772
2004,"[240,250)",2004,0.0120374369
2004,"[250,260)",2004,0.0011695767
2004,"[260,270)",2004,0.0095169014
2004,"[270,280)",2004,0.0037594436
2004,"[280,290)",2004,0
2004,"[290,300)",2004,0.0268002061
2004,"[300,310)",2004,0.0759521226
2004,"[310,320)",2004,0
2004,"[320,330)",2004,0.0014257591
2004,"[330,340)",2004,0.00744045
2004,"[340,350)",2004,0.0099740769
2004,"[350,360)",2004,0.0013930323
2004,"[360,370)",2004,0.09516815
2004,"[370,380)",2004,0.0495652261
2004,"[380,390)",2004,0.1162464335
2004,"[390,400)",2004,0.0101356732
2004,"[400,410)",2004,0.0063285936
2004,"[410,420)",2004,0.0082205398
2004,"[420,430)",2004,0.0444167302
2004,"[430,440)",2004,0.097836882
2004,"[440,450)",2004,0.0027781009
2004,"[450,460)",2004,0.001550435
2004,"[460,470)",2004,0.0094263126
2004,"[470,480)",2004,0.0634740837
2004,"[480,490)",2004,0.0684737642
2004,"[490,500)",2004,0.0107040167
2004,"[500,510)",2004,0.0136705986
2004,"[510,520)",2004,0.0037605418
2004,"[520,530)",2004,0.0275458586
2004,"[530,540)",2004,0.0204160076
2004,"[540,550)",2004,0.000184039
2004,"[550,560)",2004,0.0009212772
2004,"[560,570)",2004,0.0586798129
2004,"[570,580)",2004,0.0802041221
2004,"[580,590)",2004,0.1591877678
2004,"[590,600)",2004,0.6138222799
2004,"[600,610)",2004,0.9540165982
2004,"[610,620)",2004,0.7795371392
2004,"[620,630)",2004,0.4025583446
2004,"[630,640)",2004,0.2433087033
2004,"[640,650)",2004,0.0988923233
2004,"[650,660)",2004,0.0908969228
2004,"[660,670)",2004,0.0152724272
2004,"[670,680)",2004,0.0366141012
2004,"[680,690)",2004,0.0674560059
2004,"[690,700)",2004,0.4530379561
2004,"[700,710)",2004,0.2781057148
2004,"[710,720)",2004,0.0203754251
2004,"[720,730)",2004,0.0557305865
2004,"[730,740)",2004,0.2959322635
2004,"[740,750)",2004,0.1222288583
2004,"[750,760)",2004,0.0477933994
2004,"[760,770)",2004,0.0581109105
2004,"[770,780)",2004,0.0354217467
2004,"[780,790)",2004,0.0473109863
2004,"[790,800)",2004,0.0728747979
2004,"[800,810)",2004,0.1591077639
2004,"[810,820)",2004,0.0745702263
2004,"[820,830)",2004,0.0146585094
2004,"[830,840)",2004,0.0030444356
2004,"[840,850)",2004,0.1162795365
2004,"[850,860)",2004,0.4892833244
2004,"[860,870)",2004,0.2147951545
2004,"[870,880)",2004,0.0246510057
2004,"[880,890)",2004,0.0692309533
2004,"[890,900)",2004,0.0148355383
2004,"[900,910)",2004,0.0267559091
2004,"[910,920)",2004,0.0521620522
2004,"[920,930)",2004,0.0182410148
2004,"[930,940)",2004,0.0056530404
2004,"[940,950)",2004,0.0109367947
2004,"[950,960)",2004,0.0044635265
2004,"[960,970)",2004,0.0160320412
2004,"[970,980)",2004,0.0092025905
2004,"[980,990)",2004,0
2004,"[990,1000)",2004,0.0023881148
