f_year,year,groups,seg_floodplain_area,seg_ndvi_5_7,f_group,seg_cropland_perc
2001,2001,"[100,110)",0.076624717,0.000927682,11,0.012106828
2001,2001,"[110,120)",0.117890973,0.006576834,12,0.055787424
2001,2001,"[120,130)",0.066138984,0.005263369,13,0.079580431
2001,2001,"[130,140)",0.061451074,0.005341098,14,0.086916273
2001,2001,"[140,150)",0.370611355,0.022912654,15,0.06182394
2001,2001,"[150,160)",0.306328604,0.02687406,16,0.087729515
2001,2001,"[160,170)",0.204774933,0.019089413,17,0.093221436
2001,2001,"[170,180)",0.475537968,0.079214087,18,0.166577839
2001,2001,"[180,190)",0.143522763,0.010319501,19,0.071901493
2001,2001,"[190,200)",0.100473867,0.009235187,20,0.091916306
2001,2001,"[200,210)",0.133069314,0.0038059,21,0.028600881
2001,2001,"[210,220)",0.347861273,0.023162502,22,0.066585458
2001,2001,"[220,230)",0.452377942,0.011120575,23,0.024582488
2001,2001,"[230,240)",0.519649878,0.004515314,24,0.008689146
2001,2001,"[240,250)",0.346570607,0.001167524,25,0.003368792
2001,2001,"[250,260)",0.308802493,0.002179589,26,0.007058196
2001,2001,"[260,270)",0.157650498,0.000545273,27,0.003458743
2001,2001,"[270,280)",0.142297142,0.003628823,28,0.025501731
2001,2001,"[280,290)",0.10130901,0.019264627,29,0.190157094
2001,2001,"[290,300)",0.078183778,0.00792834,30,0.101406462
2001,2001,"[300,310)",0.383253735,0.022819373,31,0.059541162
2001,2001,"[310,320)",0.263179196,0.040431956,32,0.153628996
2001,2001,"[320,330)",0.041865922,0.002650529,33,0.063309928
2001,2001,"[330,340)",0.107963969,0.007131492,34,0.066054367
2001,2001,"[340,350)",0.107125332,0.006376267,35,0.05952156
2001,2001,"[350,360)",0.038333029,0.005776077,36,0.150681477
2001,2001,"[360,370)",0.038052665,0.001249671,37,0.032840562
2001,2001,"[370,380)",0.167074132,0.065371007,38,0.391269468
2001,2001,"[380,390)",0.278744981,0.047604629,39,0.170782014
2001,2001,"[390,400)",0.30045039,0.006060355,40,0.020170899
2001,2001,"[400,410)",0.096033969,0.006088403,41,0.06339843
2001,2001,"[410,420)",0.093711811,0.001091665,42,0.011649173
2001,2001,"[420,430)",0.280683072,0.010595503,43,0.03774899
2001,2001,"[430,440)",0.030388331,0.005374244,44,0.176852241
2001,2001,"[440,450)",0.035362356,0.00474843,45,0.134279229
2001,2001,"[450,460)",0.528952598,0.002722835,46,0.005147597
2001,2001,"[460,470)",0.003038336,0,47,0
2001,2001,"[470,480)",0.122610318,0.000622305,48,0.005075473
2001,2001,"[480,490)",0.051141404,0.007061727,49,0.138082383
2001,2001,"[490,500)",0.160582345,0.019602222,50,0.122069598
2001,2001,"[500,510)",0.088944392,0.011030843,51,0.124019544
2001,2001,"[510,520)",0.104433229,0.005375419,52,0.051472308
2001,2001,"[520,530)",0.15261799,0.031961773,53,0.209423367
2001,2001,"[530,540)",0.035629653,0.005828075,54,0.163573716
2001,2001,"[540,550)",0.046550375,0.006504281,55,0.139725647
2001,2001,"[550,560)",0.090423097,0.013112352,56,0.145011096
2001,2001,"[560,570)",0.039006579,0.001244353,57,0.031901113
2001,2001,"[570,580)",0.078466982,0.005272109,58,0.067188885
2001,2001,"[580,590)",0.00319508,0.000154888,59,0.048476947
2001,2001,"[590,600)",0.168930894,0.000851772,60,0.005042134
2001,2001,"[600,610)",0.033882547,7.73E-05,61,0.002282641
2001,2001,"[610,620)",0.330440004,0.019328014,62,0.05849175
2001,2001,"[620,630)",0.214155776,0.00935205,63,0.043669379
2001,2001,"[630,640)",0.042010025,0,64,0
2001,2001,"[640,650)",0.285999974,0.000870658,65,0.003044258
2001,2001,"[650,660)",0.056068067,0.018637854,66,0.332414775
2001,2001,"[660,670)",0.179826151,0.001779957,67,0.00989821
2001,2001,"[670,680)",0.283069922,0.027249555,68,0.096264396
2001,2001,"[690,700)",0.419556139,0.003179143,70,0.007577395
2001,2001,"[700,710)",0.039330833,0.00155178,71,0.039454534
2001,2001,"[710,720)",0.210738547,0.011410589,72,0.054145713
2001,2001,"[720,730)",0.122868626,0.015067164,73,0.122628247
2001,2001,"[730,740)",0.086450038,0.00357616,74,0.041366786
2001,2001,"[740,750)",0.119105173,0.000933119,75,0.007834415
2001,2001,"[750,760)",0.134727412,0,76,0
2001,2001,"[760,770)",0.040659434,0,77,0
2001,2001,"[770,780)",0.016589235,7.79E-05,78,0.00469874
2001,2001,"[780,790)",0.036779178,0.00078011,79,0.021210645
2001,2001,"[790,800)",0.135634205,0.030845381,80,0.227415943
2001,2001,"[800,810)",0.001284393,0,81,0
2001,2001,"[810,820)",0.20573249,0.002552713,82,0.012407922
2001,2001,"[820,830)",0.253852729,0.016117498,83,0.063491531
2001,2001,"[830,840)",0.247929483,0.008389998,84,0.033840258
2001,2001,"[840,850)",0.179001232,0.005031547,85,0.02810901
2001,2001,"[850,860)",0.079052414,0.002853865,86,0.036100918
2001,2001,"[860,870)",0.20360765,0.007120867,87,0.034973476
2001,2001,"[870,880)",0.798256728,0.009000327,88,0.011274978
2001,2001,"[880,890)",0.082147364,0.000313062,89,0.003810976
2001,2001,"[890,900)",0.412720923,0.001168248,90,0.002830601
2001,2001,"[900,910)",0.29783041,0.002821055,91,0.009472018
2001,2001,"[910,920)",0.152725968,0.001956179,92,0.012808421
2001,2001,"[920,930)",0.479556581,0.003049636,93,0.006359283
2001,2001,"[930,940)",0.243111218,0.011449387,94,0.047095265
2001,2001,"[940,950)",0.08901427,0.00269498,95,0.030275815
2001,2001,"[950,960)",0.257175293,0.009842933,96,0.038273246
2001,2001,"[960,970)",0.425618584,0.011321875,97,0.026600988
2001,2001,"[970,980)",0.26125209,0.0031992,98,0.012245644
2001,2001,"[980,990)",0.223594568,0.001903353,99,0.00851252
2001,2001,"[990,1000)",0.457054534,0.010952033,100,0.023962202
2001,2001,"[1010,1020)",0.612637724,0.03443412,102,0.056206334
2001,2001,"[1020,1030)",0.138399854,0,103,0
2001,2001,"[1030,1040)",0.071530513,0,104,0
2001,2001,"[1040,1050)",0.301742521,0,105,0
2001,2001,"[1050,1060)",0.158703725,0,106,0
2001,2001,"[1060,1070)",0.359385981,0.00522947,107,0.014551125
2001,2001,"[1070,1080)",0.334269778,0.018174142,108,0.054369682
2001,2001,"[1080,1090)",0.021297948,0.001954991,109,0.091792442
2001,2001,"[1090,1100)",0.255747659,0.040447366,110,0.158153415
2001,2001,"[1100,1110)",0.054324732,0.002408564,111,0.044336417
2001,2001,"[1110,1120)",0.269980092,0.023916656,112,0.088586738
2001,2001,"[1120,1130)",0.137419496,0.004810383,113,0.035005101
2001,2001,"[1130,1140)",0.435005396,0.074023205,114,0.170166176
2001,2001,"[1140,1150)",0.1369875,0.037369673,115,0.272796225
2001,2001,"[1150,1160)",0.002095574,7.76E-05,116,0.037041351
2001,2001,"[1160,1170)",0.409687411,0.052216193,117,0.12745374
2001,2001,"[1170,1180)",0.171056485,0.061157229,118,0.357526517
2001,2001,"[1180,1190)",0.030007445,0.006665419,119,0.222125495
2001,2001,"[1190,1200)",0.182563033,0.03650474,120,0.199956912
2001,2001,"[1200,1210)",0.038842638,0.010782171,121,0.277585961
2001,2001,"[1210,1220)",0.138436491,0.016485742,122,0.119085237
2001,2001,"[1220,1230)",0.188316891,0.020283913,123,0.107711597
2001,2001,"[1230,1240)",0.311864282,0.008582812,124,0.027520984
2001,2001,"[1240,1250)",0.250181236,0.011918095,125,0.047637843
2001,2001,"[1250,1260)",0.086514782,0.016894877,126,0.195283129
2001,2001,"[1260,1270)",0.148824891,0.006943484,127,0.046655391
2001,2001,"[1270,1280)",0.068600591,0.000770999,128,0.011238951
2001,2001,"[1280,1290)",0.13767681,0.02011723,129,0.14611923
2001,2001,"[1290,1300)",0.023911586,0.000846823,130,0.035414736
2001,2001,"[1300,1310)",0.030302667,0.003616154,131,0.1193345
2001,2001,"[1310,1320)",0.060296567,0.002538389,132,0.042098395
2001,2001,"[1320,1330)",0.008178585,0.000384425,133,0.047003902
2001,2001,"[1330,1340)",0.026720345,0.002385258,134,0.089267473
2001,2001,"[1340,1350)",0.021849437,0.001538909,135,0.070432409
2001,2001,"[1370,1380)",0.068847218,0.022492701,138,0.326704567
2001,2001,"[1380,1390)",0.013648776,0.003234897,139,0.237010068
2001,2001,"[1390,1400)",0.180518722,0.0968011,140,0.536238561
2001,2001,"[1400,1410)",0.051358386,0.009097043,141,0.177128687
2001,2001,"[1410,1420)",0.003623262,0.001079315,142,0.297884854
2001,2001,"[1420,1430)",0.032142896,0.004931847,143,0.153435047
2001,2001,"[1430,1440)",0.061689796,0.009096208,144,0.147450766
2001,2001,"[1440,1450)",0.004471317,0.001080418,145,0.241632973
2001,2001,"[1450,1460)",0.003396689,0.000154537,146,0.0454963
2001,2001,"[1460,1470)",0.033710473,0.006730217,147,0.19964766
2001,2001,"[1470,1480)",0.014658766,0,148,0
2001,2001,"[1480,1490)",0.014198207,0.000774797,149,0.05457004
2001,2001,"[1490,1500)",0.045873994,0.003101053,150,0.067599362
2002,2002,"[0,10)",0.01813628,0.001773277,1,0.09777514
2002,2002,"[10,20)",0.135463457,0.008868867,2,0.06547055
2002,2002,"[20,30)",0.010191748,0.00061766,3,0.060603932
2002,2002,"[30,40)",0.040619317,0.004327867,4,0.106547005
2002,2002,"[40,50)",0.090062854,0,5,0
2002,2002,"[50,60)",0.061217929,0.00030945,6,0.005054895
2002,2002,"[60,70)",0.371662759,0.000309583,7,0.000832966
2002,2002,"[70,80)",0.19390813,0.004876305,8,0.0251475
2002,2002,"[80,90)",0.136554323,0.000541226,9,0.003963451
2002,2002,"[90,100)",0.003098324,7.73E-05,10,0.024952783
2002,2002,"[100,110)",0.0702824,0.001004983,11,0.014299209
2002,2002,"[110,120)",0.094335537,0.006035219,12,0.06397609
2002,2002,"[120,130)",0.078781246,0.005959764,13,0.075649528
