GRIDCODE,POLY_AREA,year,DistMark
1,0.00027373,2009,387
1,0.000780912,2009,387
1,0.001561674,2009,374
1,0.000780812,2009,372
1,0.000780828,2009,373
1,0.008162506,2009,373
1,0.002342515,2009,375
1,0.000780836,2009,375
1,0.000780834,2009,375
1,0.011712267,2009,373
1,0.000780678,2009,337
1,0.002342456,2009,373
1,0.030644381,2009,374
1,0.00234249,2009,375
1,0.007027356,2009,373
1,0.004684931,2009,374
1,0.000780817,2009,374
1,0.001561759,2009,386
1,0.002342477,2009,375
1,0.00156163,2009,374
1,0.000553595,2009,374
1,0.001561631,2009,374
1,0.000780769,2009,357
1,0.001561531,2009,357
1,0.000780762,2009,357
1,0.000780774,2009,372
1,0.000392759,2009,387
1,0.001007567,2009,387
1,0.020998974,2009,387
1,0.000780777,2009,374
1,0.000780772,2009,374
1,0.00078077,2009,374
1,0.000780832,2009,387
1,0.000780822,2009,387
1,0.000780818,2009,387
1,0.000780726,2009,373
1,0.000780803,2009,387
1,0.000780801,2009,387
1,0.001561623,2009,388
1,0.0007808,2009,389
1,0.000780625,2009,348
1,0.001561589,2009,389
1,0.001561235,2009,349
1,0.001561572,2009,389
1,0.003123115,2009,389
1,0.000780756,2009,388
1,0.000780776,2009,389
1,0.155285243,2009,388
1,0.003122979,2009,388
1,0.004684463,2009,388
1,6.51E-05,2009,389
1,0.003903697,2009,388
1,0.010864026,2009,388
1,0.000780734,2009,389
1,0.000821012,2009,389
1,0.000780728,2009,389
1,0.000780724,2009,389
1,0.001561442,2009,389
1,0.002342158,2009,389
1,0.000780719,2009,389
1,0.000780716,2009,389
1,0.001561433,2009,389
1,0.000780711,2009,389
1,0.000780703,2009,389
1,0.000780699,2009,389
1,0.005464839,2009,389
1,0.000780687,2009,389
1,0.000780682,2009,389
1,0.000780669,2009,390
1,0.000780664,2009,390
1,0.000780662,2009,390
1,0.000780622,2009,390
1,0.000780388,2009,333
1,0.34982018,2009,390
1,0.000780385,2009,333
1,0.003121504,2009,333
1,0.008584125,2009,333
1,0.001560735,2009,333
1,0.000780368,2009,333
1,0.000780601,2009,391
1,0.00156073,2009,333
1,0.002341081,2009,333
1,0.001560721,2009,333
1,0.003121425,2009,333
1,0.003901785,2009,333
1,0.003851455,2009,332
1,0.001561137,2009,391
1,0.000514564,2009,392
1,0.000780557,2009,392
1,0.002341666,2009,392
1,0.000780554,2009,392
1,0.132518567,2009,392
1,0.000780551,2009,392
1,0.000780546,2009,392
1,0.001561096,2009,392
